system   D            wsystem.c:583  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Administrator\Documents\GitHub\PROJECT-HY454-2012\bubble bobble\src\Bubble Bobble\
display  D   display_settings.c:191  debug_display_settings           [   0.19589] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19591] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19593] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19595] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.19596] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19601] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.19602] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19604] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19606] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19608] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19609] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19611] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.19613] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19615] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.19616] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19618] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19619] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19622] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19623] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19625] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19626] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19629] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19630] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19632] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19633] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
